,node_name,peak_value,parameter
4,"v_roi33:C(type, Treatment('prototype'))[T.exception]",-0.5372461248204154,4
5,"v_roi33:C(type, Treatment('prototype'))[T.rule follower]",-0.5825196247276809,5
6,a_Intercept,1.7853997292990589,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.08707961460794905,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.02766873533505898,8
9,a_roi33,1.1043052573780217,9
10,"a_roi33:C(type, Treatment('prototype'))[T.exception]",0.0599751762438312,1
11,"a_roi33:C(type, Treatment('prototype'))[T.rule follower]",0.5484067276238813,1
12,t_Intercept,0.3523432616355197,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.009952208504390644,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.04174173914815223,1
15,t_roi33,-0.046227345178803995,1
16,"t_roi33:C(type, Treatment('prototype'))[T.exception]",-0.06982595724883855,1
17,"t_roi33:C(type, Treatment('prototype'))[T.rule follower]",-0.031905217940908885,1
0,v_Intercept,0.052058157437197584,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.07380247329602138,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.04690998451690157,2
3,v_roi34,0.002497320586877905,3
4,"v_roi34:C(type, Treatment('prototype'))[T.exception]",-0.23149684848977306,4
5,"v_roi34:C(type, Treatment('prototype'))[T.rule follower]",-0.4052243176483019,5
6,a_Intercept,1.7316048113373677,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.1520154629743568,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.056556616276968785,8
9,a_roi34,-1.7394670547651008,9
10,"a_roi34:C(type, Treatment('prototype'))[T.exception]",1.3281815922566138,1
11,"a_roi34:C(type, Treatment('prototype'))[T.rule follower]",0.6873928530827431,1
12,t_Intercept,0.357359131392848,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.004067524751463936,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.026028584303266374,1
15,t_roi34,0.20162908487390285,1
16,"t_roi34:C(type, Treatment('prototype'))[T.exception]",-0.2884424764085812,1
17,"t_roi34:C(type, Treatment('prototype'))[T.rule follower]",-0.1977562973956969,1
0,v_Intercept,0.05173791665859687,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.13664735182205776,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.06175841487056182,2
3,v_roi35,-0.0232895521286417,3
4,"v_roi35:C(type, Treatment('prototype'))[T.exception]",-0.9277373598780044,4
5,"v_roi35:C(type, Treatment('prototype'))[T.rule follower]",0.0044097266711120575,5
6,a_Intercept,1.7839534480344754,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.06830133348104461,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.031789242159331293,8
9,a_roi35,0.5354420352708273,9
10,"a_roi35:C(type, Treatment('prototype'))[T.exception]",0.07682980297444275,1
11,"a_roi35:C(type, Treatment('prototype'))[T.rule follower]",0.510919000072338,1
12,t_Intercept,0.35398873264526065,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.004177700142027341,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.035072437926269656,1
15,t_roi35,-0.02366523760443566,1
16,"t_roi35:C(type, Treatment('prototype'))[T.exception]",0.034506856849446536,1
17,"t_roi35:C(type, Treatment('prototype'))[T.rule follower]",-0.058608583572454125,1
0,v_Intercept,0.07365404384002268,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.04442834703168577,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.09165430892133293,2
3,v_roi38,0.5891559486167933,3
4,"v_roi38:C(type, Treatment('prototype'))[T.exception]",-1.2916104692849235,4
5,"v_roi38:C(type, Treatment('prototype'))[T.rule follower]",-0.7835255828108967,5
6,a_Intercept,1.7287033653894617,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.07429239325909716,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.05507173520458036,8
9,a_roi38,-0.8976152238756759,9
10,"a_roi38:C(type, Treatment('prototype'))[T.exception]",0.0286393758376986,1
11,"a_roi38:C(type, Treatment('prototype'))[T.rule follower]",-0.008639289601994895,1
12,t_Intercept,0.3638400788125033,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.009695511910034676,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.019889925206559286,1
15,t_roi38,0.186981874250632,1
16,"t_roi38:C(type, Treatment('prototype'))[T.exception]",-0.06530686960363248,1
17,"t_roi38:C(type, Treatment('prototype'))[T.rule follower]",-0.1582934318037416,1
0,v_Intercept,0.0896482611109338,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.006867897941260748,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.024400521975169957,2
3,v_roi39,0.7153999382834944,3
4,"v_roi39:C(type, Treatment('prototype'))[T.exception]",-1.5173805150565902,4
5,"v_roi39:C(type, Treatment('prototype'))[T.rule follower]",0.438908203164224,5
6,a_Intercept,1.7276436420115944,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.0927798163489208,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.02547301766493616,8
9,a_roi39,-0.948315640368283,9
10,"a_roi39:C(type, Treatment('prototype'))[T.exception]",0.15919534698951845,1
11,"a_roi39:C(type, Treatment('prototype'))[T.rule follower]",-0.7143937324276761,1
12,t_Intercept,0.3573909333687613,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.015459072898774372,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.027214092253122584,1
15,t_roi39,0.0604754083413725,1
16,"t_roi39:C(type, Treatment('prototype'))[T.exception]",0.1022255772717667,1
17,"t_roi39:C(type, Treatment('prototype'))[T.rule follower]",0.06211029238970073,1
0,v_Intercept,0.0953253849612935,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.08825278309890505,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.04470066969681291,2
3,v_roi40,0.5201942121416654,3
4,"v_roi40:C(type, Treatment('prototype'))[T.exception]",-0.01087089125850027,4
5,"v_roi40:C(type, Treatment('prototype'))[T.rule follower]",-0.2061829334015808,5
6,a_Intercept,1.6714140940660682,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.1082254271006377,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",-0.012233439035433752,8
9,a_roi40,-1.4266475171579138,9
10,"a_roi40:C(type, Treatment('prototype'))[T.exception]",0.2693566304949482,1
11,"a_roi40:C(type, Treatment('prototype'))[T.rule follower]",-0.559271709717333,1
12,t_Intercept,0.3606748613688297,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.00964652147250819,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.04052501021153816,1
15,t_roi40,0.1077009315415681,1
16,"t_roi40:C(type, Treatment('prototype'))[T.exception]",0.10380727759779013,1
17,"t_roi40:C(type, Treatment('prototype'))[T.rule follower]",-0.011518365028261812,1
0,v_Intercept,0.09121493541820573,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.020404117633615937,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.02587111536977033,2
3,v_roi41,1.4771613460583997,3
4,"v_roi41:C(type, Treatment('prototype'))[T.exception]",-1.7823276966789106,4
5,"v_roi41:C(type, Treatment('prototype'))[T.rule follower]",0.3170664153330178,5
6,a_Intercept,1.7202806050231747,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.0662943986256272,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",-0.00580500600835826,8
9,a_roi41,-1.6580282626689629,9
10,"a_roi41:C(type, Treatment('prototype'))[T.exception]",-0.3089594210999622,1
11,"a_roi41:C(type, Treatment('prototype'))[T.rule follower]",-0.9598851095538404,1
12,t_Intercept,0.3586897214850371,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.02561725056409186,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.03193547390613144,1
15,t_roi41,0.1084752652189418,1
16,"t_roi41:C(type, Treatment('prototype'))[T.exception]",0.4170062891694949,1
17,"t_roi41:C(type, Treatment('prototype'))[T.rule follower]",0.045933677368501236,1
0,v_Intercept,0.049071115768848636,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.08714031170296907,1
